c1                                                                                op21                                                                              c2                                                                                op23                                                                              c3                                                                                count
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          408916
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          57793
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     57793
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    41522
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          41522
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         33795
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          33795
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P106_is_composed_of                               http://erlangen-crm.org/current/E82_Actor_Appellation                             33026
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P106_is_composed_of                               http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          33026
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          32918
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    32918
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         32918
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          32918
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          32918
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    32918
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P106_is_composed_of                               http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P106_is_composed_of                               http://erlangen-crm.org/current/E82_Actor_Appellation                             32744
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    32712
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          32712
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    19960
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     19960
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         19304
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    19304
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         17290
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     17290
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     16012
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         16012
