source 	 p 	 r 	 t 

s01-cb.csv	0.14	0.09	0.708
s02-dma.csv	0.09	0.07	0.342
s03-ima-artists.xml	0.17	0.11	0.154
s04-ima-artworks.xml	0.08	0.06	0.196
s05-met.json	0.0	0.0	0.242
s06-npg.json	0.1	0.06	0.161
s07-s-13.json	0.08	0.06	0.165
s08-s-17-edited.xml	0.0	0.0	0.122
s09-s-18-artists.json	0.0	0.0	0.111
s10-s-18-artworks.json	0.0	0.0	0.16
s11-s-19-artists.json	0.0	0.0	0.096
s12-s-19-artworks.json	0.0	0.0	0.131
s13-s-art-institute-of-chicago.xml	0.09	0.08	0.154
s14-s-california-african-american.json	0.0	0.0	0.138
s15-s-detroit-institute-of-art.json	0.09	0.07	0.151
s16-s-hammer.xml	0.0	0.0	0.125
s17-s-houston-museum-of-fine-arts.json	0.09	0.07	0.129
s18-s-indianapolis-artists.xml	0.17	0.11	0.098
s19-s-indianapolis-artworks.xml	0.08	0.06	0.153
s20-s-lacma.xml	0.11	0.08	0.144
s21-s-met.json	0.1	0.07	0.142
s22-s-moca.xml	0.0	0.0	0.112
s23-s-national-portrait-gallery.json	0.1	0.05	0.125
s24-s-norton-simon.json	0.1	0.08	0.123
s25-s-oakland-museum-paintings.json	0.09	0.07	0.122
s26-s-san-francisco-moma.json	0.08	0.06	0.138
s27-s-the-huntington.json	0.09	0.07	0.116
s28-wildlife-art.csv	0.07	0.05	0.142
s29-gilcrease.csv	0.0	0.0	0.101
