source 	 p 	 r 	 t 

s01-cb.csv	0.89	0.73	0.583
s02-dma.csv	0.85	0.73	0.746
s03-ima-artists.xml	0.88	0.78	0.114
s04-ima-artworks.xml	0.6	0.5	1.729
s05-met.json	0.58	0.5	1.202
s06-npg.json	0.85	0.61	0.268
s07-s-13.json	0.67	0.56	0.559
s08-s-17-edited.xml	0.33	0.29	0.371
s09-s-18-artists.json	1.0	0.8	0.061
s10-s-18-artworks.json	0.55	0.6	0.433
s11-s-19-artists.json	0.8	0.67	0.501
s12-s-19-artworks.json	0.89	0.89	0.186
s13-s-art-institute-of-chicago.xml	0.83	0.77	0.281
s14-s-california-african-american.json	0.75	0.67	0.427
s15-s-detroit-institute-of-art.json	0.85	0.73	0.786
s16-s-hammer.xml	0.78	0.88	0.319
s17-s-houston-museum-of-fine-arts.json	0.92	0.79	0.254
s18-s-indianapolis-artists.xml	0.88	0.78	0.056
s19-s-indianapolis-artworks.xml	0.67	0.56	0.653
s20-s-lacma.xml	0.91	0.77	0.191
s21-s-met.json	0.77	0.71	0.33
s22-s-moca.xml	1.0	1.0	0.065
s23-s-national-portrait-gallery.json	0.64	0.47	0.526
s24-s-norton-simon.json	1.0	0.85	0.029
s25-s-oakland-museum-paintings.json	0.77	0.67	0.896
s26-s-san-francisco-moma.json	0.69	0.65	0.453
s27-s-the-huntington.json	0.92	0.79	0.245
s28-wildlife-art.csv	0.59	0.53	0.911
s29-gilcrease.csv	0.89	0.89	0.302
