source 	 p 	 r 	 t 

s01-cb.csv	0.31	0.22	0.727
s02-dma.csv	0.43	0.36	0.351
s03-ima-artists.xml	0.5	0.37	0.139
s04-ima-artworks.xml	0.32	0.26	0.21
s05-met.json	0.3	0.25	0.261
s06-npg.json	0.46	0.29	0.159
s07-s-13.json	0.39	0.28	0.174
s08-s-17-edited.xml	0.5	0.4	0.118
s09-s-18-artists.json	0.5	0.46	0.112
s10-s-18-artworks.json	0.58	0.44	0.139
s11-s-19-artists.json	0.5	0.36	0.104
s12-s-19-artworks.json	0.6	0.57	0.138
s13-s-art-institute-of-chicago.xml	0.56	0.52	0.171
s14-s-california-african-american.json	0.5	0.41	0.128
s15-s-detroit-institute-of-art.json	0.41	0.34	0.164
s16-s-hammer.xml	0.59	0.56	0.145
s17-s-houston-museum-of-fine-arts.json	0.6	0.47	0.141
s18-s-indianapolis-artists.xml	0.43	0.32	0.123
s19-s-indianapolis-artworks.xml	0.29	0.23	0.187
s20-s-lacma.xml	0.44	0.38	0.167
s21-s-met.json	0.38	0.27	0.15
s22-s-moca.xml	0.5	0.44	0.143
s23-s-national-portrait-gallery.json	0.39	0.27	0.164
s24-s-norton-simon.json	0.5	0.39	0.157
s25-s-oakland-museum-paintings.json	0.37	0.3	0.184
s26-s-san-francisco-moma.json	0.55	0.44	0.186
s27-s-the-huntington.json	0.5	0.44	0.142
s28-wildlife-art.csv	0.45	0.32	0.186
s29-gilcrease.csv	0.5	0.35	0.112
