source 	 p 	 r 	 t 

s01-cb.csv	0.5	0.43	0.801
s02-dma.csv	0.61	0.56	1.958
s03-ima-artists.xml	0.76	0.68	0.167
s04-ima-artworks.xml	0.5	0.46	1.188
s05-met.json	0.45	0.47	1.255
s06-npg.json	0.61	0.5	0.593
s07-s-13.json	0.61	0.51	0.974
s08-s-17-edited.xml	0.62	0.53	0.313
s09-s-18-artists.json	0.83	0.77	0.068
s10-s-18-artworks.json	0.75	0.6	0.122
s11-s-19-artists.json	0.4	0.43	0.384
s12-s-19-artworks.json	0.86	0.9	0.517
s13-s-art-institute-of-chicago.xml	0.85	0.79	0.499
s14-s-california-african-american.json	0.65	0.68	0.577
s15-s-detroit-institute-of-art.json	0.62	0.57	0.773
s16-s-hammer.xml	0.82	0.78	0.6
s17-s-houston-museum-of-fine-arts.json	0.79	0.72	0.533
s18-s-indianapolis-artists.xml	0.6	0.63	0.184
s19-s-indianapolis-artworks.xml	0.29	0.26	1.199
s20-s-lacma.xml	0.52	0.52	0.65
s21-s-met.json	0.55	0.48	0.795
s22-s-moca.xml	0.74	0.78	0.097
s23-s-national-portrait-gallery.json	0.53	0.44	0.529
s24-s-norton-simon.json	0.73	0.68	0.194
s25-s-oakland-museum-paintings.json	0.64	0.64	0.901
s26-s-san-francisco-moma.json	0.76	0.72	0.723
s27-s-the-huntington.json	0.71	0.69	0.75
s28-wildlife-art.csv	0.64	0.57	1.161
s29-gilcrease.csv	0.7	0.61	0.539
