source 	 p 	 r 	 t 

s01-cb.csv	0.63	0.52	0.672
s02-dma.csv	0.72	0.64	1.359
s03-ima-artists.xml	0.76	0.68	0.117
s04-ima-artworks.xml	0.57	0.51	1.414
s05-met.json	0.54	0.59	1.371
s06-npg.json	0.7	0.55	0.262
s07-s-13.json	0.66	0.59	1.359
s08-s-17-edited.xml	0.62	0.53	0.303
s09-s-18-artists.json	0.83	0.77	0.019
s10-s-18-artworks.json	0.75	0.6	0.092
s11-s-19-artists.json	0.53	0.57	0.4
s12-s-19-artworks.json	0.95	0.95	0.135
s13-s-art-institute-of-chicago.xml	0.86	0.83	0.207
s14-s-california-african-american.json	0.65	0.68	0.304
s15-s-detroit-institute-of-art.json	0.67	0.63	0.521
s16-s-hammer.xml	0.89	0.94	0.198
s17-s-houston-museum-of-fine-arts.json	0.86	0.78	0.183
s18-s-indianapolis-artists.xml	0.63	0.63	0.077
s19-s-indianapolis-artworks.xml	0.54	0.51	0.843
s20-s-lacma.xml	0.66	0.66	0.245
s21-s-met.json	0.64	0.55	0.385
s22-s-moca.xml	0.84	0.89	0.094
s23-s-national-portrait-gallery.json	0.66	0.56	0.443
s24-s-norton-simon.json	0.85	0.79	0.066
s25-s-oakland-museum-paintings.json	0.67	0.67	0.977
s26-s-san-francisco-moma.json	0.77	0.75	0.338
s27-s-the-huntington.json	0.7	0.72	0.768
s28-wildlife-art.csv	0.64	0.57	1.389
s29-gilcrease.csv	0.96	0.96	0.138
