s01-cb.csv(10)	 	 	 	  	 s02-dma.csv(19)	 	 	 	  	 s03-ima-artists.xml(8)	 	 	 	  	 s04-ima-artworks.xml(19)	 	 	 	  	 s05-met.json(18)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(19)	 	 	 	  	 s08-s-17-edited.xml(8)	 	 	 	  	 s09-s-18-artists.json(6)	 	 	 	  	 s10-s-18-artworks.json(15)	 	 	 	  	 s11-s-19-artists.json(8)	 	 	 	  	 s12-s-19-artworks.json(12)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(14)	 	 	 	  	 s14-s-california-african-american.json(13)	 	 	 	  	 s15-s-detroit-institute-of-art.json(18)	 	 	 	  	 s16-s-hammer.xml(10)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(16)	 	 	 	  	 s18-s-indianapolis-artists.xml(8)	 	 	 	  	 s19-s-indianapolis-artworks.xml(19)	 	 	 	  	 s20-s-lacma.xml(14)	 	 	 	  	 s21-s-met.json(17)	 	 	 	  	 s22-s-moca.xml(10)	 	 	 	  	 s23-s-national-portrait-gallery.json(20)	 	 	 	  	 s24-s-norton-simon.json(13)	 	 	 	  	 s25-s-oakland-museum-paintings.json(16)	 	 	 	  	 s26-s-san-francisco-moma.json(17)	 	 	 	  	 s27-s-the-huntington.json(16)	 	 	 	  	 s28-wildlife-art.csv(23)	 	 	 	  	 s29-gilcrease.csv(14)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	2.193	1.0	1.0 	 0.0	0.0	0.398	1.0	1.0 	 0.0	0.0	0.192	1.0	1.0 	 0.0	0.0	0.53	1.0	1.0 	 0.0	0.0	0.242	1.0	1.0 	 0.0	0.0	0.265	1.0	1.0 	 0.0	0.0	0.494	1.0	1.0 	 0.0	0.0	0.215	1.0	1.0 	 0.0	0.0	0.129	1.0	1.0 	 0.1	0.1	0.297	1.0	1.0 	 0.0	0.0	0.141	1.0	1.0 	 0.0	0.0	0.269	1.0	1.0 	 0.0	0.0	0.254	1.0	1.0 	 0.0	0.0	0.476	1.0	1.0 	 0.0	0.0	0.232	1.0	1.0 	 0.0	0.0	0.204	1.0	1.0 	 0.0	0.0	0.464	1.0	1.0 	 0.0	0.0	0.151	1.0	1.0 	 0.0	0.0	0.248	1.0	1.0 	 0.0	0.0	0.206	1.0	1.0 	 0.0	0.0	0.363	1.0	1.0 	 0.0	0.0	0.34	1.0	1.0 	 0.0	0.0	0.361	1.0	1.0 	 0.0	0.0	0.29	1.0	1.0 	 0.0	0.0	0.28	1.0	1.0 	 0.0	0.0	0.436	1.0	1.0 	 0.0	0.0	0.334	1.0	1.0 	 0.0	0.0	0.42	1.0	1.0 	 0.0	0.0	0.2	1.0	1.0
0.92	1.0	4.771	1.0	1.0 	 0.69	0.6	3.193	1.0	1.0 	 0.75	0.67	0.666	1.0	1.0 	 0.73	0.61	2.027	1.0	1.0 	 0.45	0.36	0.703	1.0	1.0 	 0.69	0.5	0.79	1.0	1.0 	 0.73	0.61	1.592	1.0	1.0 	 0.57	0.57	0.426	1.0	1.0 	 0.25	0.4	0.559	1.0	1.0 	 0.25	0.3	0.33	1.0	1.0 	 0.2	0.17	0.233	1.0	1.0 	 0.6	0.67	0.464	1.0	1.0 	 0.69	0.69	0.786	1.0	1.0 	 0.44	0.44	0.27	1.0	1.0 	 0.79	0.73	0.78	1.0	1.0 	 0.44	0.5	0.346	1.0	1.0 	 0.79	0.79	0.775	1.0	1.0 	 0.75	0.67	0.57	1.0	1.0 	 0.67	0.56	1.173	1.0	1.0 	 0.75	0.69	1.338	1.0	1.0 	 0.75	0.64	3.111	1.0	1.0 	 0.56	0.62	0.632	1.0	1.0 	 0.77	0.53	1.064	1.0	1.0 	 0.77	0.77	0.821	1.0	1.0 	 0.79	0.73	1.405	1.0	1.0 	 0.33	0.29	2.416	1.0	1.0 	 0.79	0.79	1.022	1.0	1.0 	 0.56	0.47	2.015	1.0	1.0 	 0.75	0.67	0.266	1.0	1.0
0.92	1.0	2.104	1.0	1.0 	 0.77	0.67	3.442	1.0	1.0 	 1.0	1.0	0.605	1.0	1.0 	 0.75	0.67	8.118	1.0	1.0 	 0.5	0.43	1.343	1.0	1.0 	 0.79	0.61	4.151	1.0	1.0 	 0.75	0.67	6.475	1.0	1.0 	 0.57	0.57	0.57	1.0	1.0 	 0.22	0.4	0.564	1.0	1.0 	 0.25	0.3	0.395	1.0	1.0 	 0.29	0.33	0.615	1.0	1.0 	 0.7	0.78	0.691	1.0	1.0 	 0.71	0.77	2.431	1.0	1.0 	 0.45	0.56	0.885	1.0	1.0 	 0.87	0.87	1.991	1.0	1.0 	 0.5	0.62	1.245	1.0	1.0 	 0.8	0.86	2.396	1.0	1.0 	 1.0	1.0	0.485	1.0	1.0 	 0.75	0.67	4.818	1.0	1.0 	 0.77	0.77	2.779	1.0	1.0 	 0.93	0.93	3.165	1.0	1.0 	 0.56	0.62	0.71	1.0	1.0 	 0.86	0.63	6.278	1.0	1.0 	 0.85	0.85	0.709	1.0	1.0 	 0.8	0.8	3.861	1.0	1.0 	 0.65	0.65	6.318	1.0	1.0 	 0.8	0.86	3.364	1.0	1.0 	 0.71	0.63	6.14	1.0	1.0 	 0.78	0.78	0.71	1.0	1.0
1.0	1.0	2.05	1.0	1.0 	 0.67	0.67	4.649	1.0	1.0 	 0.88	0.78	0.781	1.0	1.0 	 0.75	0.67	4.13	1.0	1.0 	 0.5	0.43	1.394	1.0	1.0 	 0.79	0.61	2.975	1.0	1.0 	 0.75	0.67	2.514	1.0	1.0 	 0.57	0.57	0.455	1.0	1.0 	 0.22	0.4	0.552	1.0	1.0 	 0.25	0.3	0.353	1.0	1.0 	 0.29	0.33	0.371	1.0	1.0 	 0.7	0.78	0.884	1.0	1.0 	 0.71	0.77	2.802	1.0	1.0 	 0.45	0.56	0.747	1.0	1.0 	 0.87	0.87	2.504	1.0	1.0 	 0.5	0.62	1.112	1.0	1.0 	 0.8	0.86	2.491	1.0	1.0 	 1.0	1.0	0.442	1.0	1.0 	 0.75	0.67	2.507	1.0	1.0 	 0.77	0.77	3.131	1.0	1.0 	 0.93	0.93	3.572	1.0	1.0 	 0.56	0.62	0.802	1.0	1.0 	 0.86	0.63	4.948	1.0	1.0 	 0.85	0.85	0.924	1.0	1.0 	 0.8	0.8	6.71	1.0	1.0 	 0.65	0.65	8.45	1.0	1.0 	 0.8	0.86	3.087	1.0	1.0 	 0.71	0.63	6.071	1.0	1.0 	 0.78	0.78	0.873	1.0	1.0
1.0	1.0	2.122	1.0	1.0 	 0.73	0.73	4.836	1.0	1.0 	 0.88	0.78	0.519	1.0	1.0 	 0.82	0.78	6.131	1.0	1.0 	 0.62	0.57	3.628	1.0	1.0 	 0.93	0.72	2.249	1.0	1.0 	 0.72	0.72	3.668	1.0	1.0 	 0.57	0.57	0.867	1.0	1.0 	 0.22	0.4	0.637	1.0	1.0 	 0.45	0.5	0.406	1.0	1.0 	 0.33	0.5	1.083	1.0	1.0 	 0.8	0.89	1.167	1.0	1.0 	 0.83	0.77	2.535	1.0	1.0 	 0.7	0.78	2.233	1.0	1.0 	 1.0	1.0	2.922	1.0	1.0 	 0.56	0.62	2.011	1.0	1.0 	 1.0	1.0	2.608	1.0	1.0 	 0.88	0.78	0.428	1.0	1.0 	 0.72	0.72	3.751	1.0	1.0 	 0.69	0.69	2.276	1.0	1.0 	 1.0	1.0	1.881	1.0	1.0 	 0.78	0.88	0.663	1.0	1.0 	 0.93	0.74	4.255	1.0	1.0 	 1.0	1.0	1.025	1.0	1.0 	 0.87	0.87	2.068	1.0	1.0 	 0.75	0.71	5.485	1.0	1.0 	 1.0	1.0	3.165	1.0	1.0 	 0.72	0.68	5.808	1.0	1.0 	 0.64	0.78	1.78	1.0	1.0
1.0	1.0	1.52	1.0	1.0 	 0.79	0.73	4.288	1.0	1.0 	 0.88	0.78	1.206	1.0	1.0 	 0.82	0.78	6.388	1.0	1.0 	 0.62	0.57	3.512	1.0	1.0 	 0.93	0.72	2.353	1.0	1.0 	 0.78	0.78	5.584	1.0	1.0 	 0.57	0.57	0.692	1.0	1.0 	 0.22	0.4	0.629	1.0	1.0 	 0.45	0.5	0.32	1.0	1.0 	 0.33	0.5	1.498	1.0	1.0 	 0.8	0.89	1.525	1.0	1.0 	 0.83	0.77	2.298	1.0	1.0 	 0.64	0.78	1.837	1.0	1.0 	 1.0	1.0	2.481	1.0	1.0 	 0.56	0.62	1.755	1.0	1.0 	 1.0	1.0	2.515	1.0	1.0 	 0.88	0.78	0.691	1.0	1.0 	 0.78	0.78	5.517	1.0	1.0 	 0.64	0.69	3.189	1.0	1.0 	 1.0	1.0	2.298	1.0	1.0 	 0.78	0.88	0.875	1.0	1.0 	 0.93	0.74	3.93	1.0	1.0 	 1.0	1.0	1.343	1.0	1.0 	 0.75	0.8	4.608	1.0	1.0 	 0.75	0.71	4.856	1.0	1.0 	 1.0	1.0	3.228	1.0	1.0 	 0.89	0.84	9.407	1.0	1.0 	 0.9	1.0	1.109	1.0	1.0
1.0	1.0	1.494	1.0	1.0 	 0.8	0.8	3.814	1.0	1.0 	 0.88	0.78	1.333	1.0	1.0 	 0.78	0.78	9.358	1.0	1.0 	 0.62	0.57	3.135	1.0	1.0 	 0.93	0.72	2.439	1.0	1.0 	 0.78	0.78	6.031	1.0	1.0 	 0.57	0.57	2.12	1.0	1.0 	 0.1	0.2	1.747	1.0	1.0 	 0.45	0.5	1.382	1.0	1.0 	 0.33	0.5	1.288	1.0	1.0 	 0.8	0.89	2.37	1.0	1.0 	 0.83	0.77	2.251	1.0	1.0 	 0.58	0.78	2.01	1.0	1.0 	 1.0	1.0	2.652	1.0	1.0 	 0.56	0.62	1.628	1.0	1.0 	 1.0	1.0	2.885	1.0	1.0 	 0.88	0.78	1.069	1.0	1.0 	 0.78	0.78	4.765	1.0	1.0 	 0.64	0.69	3.292	1.0	1.0 	 1.0	1.0	2.285	1.0	1.0 	 0.78	0.88	2.493	1.0	1.0 	 0.89	0.84	5.506	1.0	1.0 	 1.0	1.0	2.922	1.0	1.0 	 0.81	0.87	3.415	1.0	1.0 	 0.75	0.71	4.355	1.0	1.0 	 1.0	1.0	3.171	1.0	1.0 	 0.89	0.84	5.041	1.0	1.0 	 0.9	1.0	1.006	1.0	1.0
1.0	1.0	1.01	1.0	1.0 	 0.79	0.73	2.656	1.0	1.0 	 0.88	0.78	0.753	1.0	1.0 	 0.83	0.83	2.984	1.0	1.0 	 0.54	0.5	2.921	1.0	1.0 	 0.73	0.61	0.515	1.0	1.0 	 0.83	0.83	2.254	1.0	1.0 	 0.57	0.57	1.692	1.0	1.0 	 0.1	0.2	1.742	1.0	1.0 	 0.45	0.5	1.238	1.0	1.0 	 0.33	0.5	1.392	1.0	1.0 	 0.8	0.89	2.408	1.0	1.0 	 0.83	0.77	2.284	1.0	1.0 	 0.58	0.78	2.266	1.0	1.0 	 1.0	1.0	2.596	1.0	1.0 	 0.56	0.62	1.71	1.0	1.0 	 1.0	1.0	2.648	1.0	1.0 	 0.88	0.78	1.083	1.0	1.0 	 0.78	0.78	4.828	1.0	1.0 	 0.64	0.69	3.486	1.0	1.0 	 1.0	1.0	2.712	1.0	1.0 	 0.78	0.88	2.518	1.0	1.0 	 0.89	0.84	6.748	1.0	1.0 	 1.0	1.0	2.966	1.0	1.0 	 0.87	0.87	2.135	1.0	1.0 	 0.75	0.71	4.115	1.0	1.0 	 1.0	1.0	3.301	1.0	1.0 	 0.89	0.84	4.401	1.0	1.0 	 0.9	1.0	1.007	1.0	1.0
1.0	1.0	0.706	1.0	1.0 	 0.73	0.73	1.087	1.0	1.0 	 0.88	0.78	0.811	1.0	1.0 	 0.83	0.83	2.528	1.0	1.0 	 0.54	0.5	2.277	1.0	1.0 	 0.73	0.61	0.502	1.0	1.0 	 0.83	0.83	1.908	1.0	1.0 	 0.57	0.57	2.216	1.0	1.0 	 0.22	0.4	0.578	1.0	1.0 	 0.45	0.5	1.517	1.0	1.0 	 0.33	0.5	1.42	1.0	1.0 	 0.8	0.89	0.624	1.0	1.0 	 0.83	0.77	0.491	1.0	1.0 	 0.54	0.78	0.456	1.0	1.0 	 0.81	0.87	0.564	1.0	1.0 	 0.36	0.5	1.732	1.0	1.0 	 1.0	1.0	0.571	1.0	1.0 	 0.88	0.78	0.514	1.0	1.0 	 0.83	0.83	1.736	1.0	1.0 	 0.64	0.69	1.968	1.0	1.0 	 1.0	1.0	1.587	1.0	1.0 	 0.78	0.88	0.622	1.0	1.0 	 0.89	0.84	2.77	1.0	1.0 	 1.0	1.0	0.597	1.0	1.0 	 0.87	0.87	17.495	1.0	1.0 	 0.61	0.65	4.666	1.0	1.0 	 1.0	1.0	0.701	1.0	1.0 	 0.89	0.84	86.709	1.0	1.0 	 0.9	1.0	0.572	1.0	1.0
1.0	1.0	0.77	1.0	1.0 	 0.73	0.73	2.854	1.0	1.0 	 0.88	0.78	0.743	1.0	1.0 	 0.83	0.83	3.168	1.0	1.0 	 0.54	0.5	2.227	1.0	1.0 	 0.73	0.61	0.515	1.0	1.0 	 0.83	0.83	3.013	1.0	1.0 	 0.57	0.57	2.15	1.0	1.0 	 0.22	0.4	0.735	1.0	1.0 	 0.45	0.5	1.569	1.0	1.0 	 0.33	0.5	1.466	1.0	1.0 	 0.8	0.89	0.726	1.0	1.0 	 0.83	0.77	0.777	1.0	1.0 	 0.54	0.78	0.416	1.0	1.0 	 0.81	0.87	0.555	1.0	1.0 	 0.36	0.5	1.116	1.0	1.0 	 1.0	1.0	0.575	1.0	1.0 	 0.88	0.78	0.52	1.0	1.0 	 0.83	0.83	1.714	1.0	1.0 	 0.64	0.69	2.055	1.0	1.0 	 1.0	1.0	1.234	1.0	1.0 	 0.78	0.88	0.597	1.0	1.0 	 0.89	0.84	2.717	1.0	1.0 	 1.0	1.0	0.566	1.0	1.0 	 0.87	0.87	13.784	1.0	1.0 	 0.61	0.65	3.279	1.0	1.0 	 1.0	1.0	0.693	1.0	1.0 	 0.89	0.84	75.005	1.0	1.0 	 0.9	1.0	0.512	1.0	1.0
