source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.49
s02-dma.csv	0.86	0.8	2.786
s03-ima-artists.xml	0.88	0.78	0.586
s04-ima-artworks.xml	0.78	0.78	1.793
s05-met.json	0.57	0.57	1.485
s06-npg.json	1.0	0.94	0.842
s07-s-13.json	0.78	0.78	1.592
s08-s-17-edited.xml	0.57	0.57	2.271
s09-s-18-artists.json	0.18	0.4	0.489
s10-s-18-artworks.json	0.7	0.7	2.898
s11-s-19-artists.json	0.33	0.5	1.738
s12-s-19-artworks.json	1.0	1.0	0.52
s13-s-art-institute-of-chicago.xml	0.83	0.77	0.703
s14-s-california-african-american.json	0.55	0.67	0.682
s15-s-detroit-institute-of-art.json	1.0	1.0	0.925
s16-s-hammer.xml	0.7	0.88	0.592
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.687
s18-s-indianapolis-artists.xml	0.88	0.78	0.583
s19-s-indianapolis-artworks.xml	0.78	0.78	1.373
s20-s-lacma.xml	0.79	0.85	0.595
s21-s-met.json	0.92	0.86	0.77
s22-s-moca.xml	0.78	0.88	0.491
s23-s-national-portrait-gallery.json	0.89	0.84	2.431
s24-s-norton-simon.json	1.0	1.0	0.666
s25-s-oakland-museum-paintings.json	1.0	1.0	1.044
s26-s-san-francisco-moma.json	0.83	0.88	0.806
s27-s-the-huntington.json	1.0	1.0	0.619
s28-wildlife-art.csv	0.89	0.84	1.338
s29-gilcrease.csv	0.9	1.0	0.702
