s02-dma.csv(19)	 	 	 	 
p 	 r 	 t 	 a 	 m
0.0	0.0	0.009	0.0	0.0
0.76	0.47	2.4	0.68	0.68
0.68	0.5	4.339	0.74	0.74
0.55	0.53	8.393	0.63	0.63
0.53	0.5	3.941	0.74	0.74
0.45	0.44	5.346	0.68	0.68
0.59	0.59	5.042	0.74	0.74
0.53	0.53	4.588	0.74	0.74
0.59	0.59	17.249	0.74	0.74
0.62	0.62	6.579	0.79	0.79
0.59	0.59	63.8	0.74	0.74
0.5	0.44	2.362	0.58	0.58
0.5	0.44	2.783	0.58	0.58
0.5	0.44	2.28	0.58	0.58
0.55	0.53	3.511	0.68	0.68
0.55	0.53	4.516	0.68	0.68
0.52	0.47	3.823	0.68	0.68
0.48	0.44	4.414	0.68	0.68
0.57	0.5	2.793	0.68	0.68
0.53	0.5	2.798	0.68	0.68
0.58	0.56	3.558	0.68	0.68
0.53	0.53	2.706	0.63	0.63
0.53	0.53	3.166	0.63	0.63
0.54	0.56	2.737	0.68	0.68
0.49	0.5	5.079	0.63	0.63
0.53	0.53	3.302	0.63	0.63
0.56	0.56	3.437	0.63	0.63
0.54	0.56	3.59	0.63	0.63
0.54	0.56	4.577	0.63	0.63
