source 	 p 	 r 	 t 

s01-cb.csv	0.57	0.62	2.103
s02-dma.csv	0.53	0.56	1.342
s03-ima-artists.xml	0.56	0.53	0.607
s04-ima-artworks.xml	0.51	0.51	16.177
s05-met.json	0.5	0.56	1.264
s06-npg.json	0.55	0.47	0.47
s07-s-13.json	0.67	0.7	1.597
s08-s-17-edited.xml	0.71	0.67	0.684
s09-s-18-artists.json	0.38	0.45	0.388
s10-s-18-artworks.json	0.85	0.68	0.715
s11-s-19-artists.json	0.5	0.64	0.689
s12-s-19-artworks.json	1.0	1.0	0.356
s13-s-art-institute-of-chicago.xml	0.75	0.78	0.507
s14-s-california-african-american.json	0.68	0.77	0.434
s15-s-detroit-institute-of-art.json	0.67	0.67	0.467
s16-s-hammer.xml	0.8	0.89	0.395
s17-s-houston-museum-of-fine-arts.json	0.81	0.87	0.487
s18-s-indianapolis-artists.xml	0.56	0.53	0.345
s19-s-indianapolis-artworks.xml	0.51	0.49	6.936
s20-s-lacma.xml	0.48	0.48	0.477
s21-s-met.json	0.55	0.55	0.934
s22-s-moca.xml	0.71	0.83	0.354
s23-s-national-portrait-gallery.json	0.69	0.62	0.584
s24-s-norton-simon.json	0.74	0.77	0.378
s25-s-oakland-museum-paintings.json	0.62	0.65	0.49
s26-s-san-francisco-moma.json	0.74	0.74	0.479
s27-s-the-huntington.json	0.73	0.73	0.472
s28-wildlife-art.csv	0.52	0.52	0.637
s29-gilcrease.csv	0.88	0.91	0.394
