source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.234
s02-dma.csv	0.81	0.93	1.782
s03-ima-artists.xml	1.0	1.0	0.778
s04-ima-artworks.xml	0.92	0.92	1.609
s05-met.json	0.86	0.86	1.346
s06-npg.json	0.83	0.83	0.695
s07-s-13.json	0.85	0.89	0.892
s08-s-17-edited.xml	1.0	1.0	0.962
s09-s-18-artists.json	1.0	1.0	0.646
s10-s-18-artworks.json	0.88	0.88	1.213
s11-s-19-artists.json	0.56	0.83	0.677
s12-s-19-artworks.json	1.0	1.0	1.028
s13-s-art-institute-of-chicago.xml	1.0	1.0	0.916
s14-s-california-african-american.json	0.93	0.93	0.901
s15-s-detroit-institute-of-art.json	1.0	1.0	0.857
s16-s-hammer.xml	1.0	1.0	0.813
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.69
s18-s-indianapolis-artists.xml	1.0	1.0	0.678
s19-s-indianapolis-artworks.xml	1.0	1.0	1.643
s20-s-lacma.xml	0.85	0.92	0.869
s21-s-met.json	0.73	0.65	1.334
s22-s-moca.xml	1.0	1.0	0.852
s23-s-national-portrait-gallery.json	0.75	0.75	0.838
s24-s-norton-simon.json	1.0	1.0	0.852
s25-s-oakland-museum-paintings.json	0.89	0.89	0.789
s26-s-san-francisco-moma.json	0.82	0.86	0.954
s27-s-the-huntington.json	1.0	1.0	1.004
s28-wildlife-art.csv	0.76	0.84	0.741
s29-gilcrease.csv	0.69	0.82	0.635
