s01-cb.csv(7)	 	 	 	  	 s02-dma.csv(12)	 	 	 	  	 s03-ima-artists.xml(4)	 	 	 	  	 s04-ima-artworks.xml(17)	 	 	 	  	 s05-met.json(14)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(14)	 	 	 	  	 s08-s-17-edited.xml(6)	 	 	 	  	 s09-s-18-artists.json(4)	 	 	 	  	 s10-s-18-artworks.json(11)	 	 	 	  	 s11-s-19-artists.json(6)	 	 	 	  	 s12-s-19-artworks.json(9)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(10)	 	 	 	  	 s14-s-california-african-american.json(9)	 	 	 	  	 s15-s-detroit-institute-of-art.json(13)	 	 	 	  	 s16-s-hammer.xml(5)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(12)	 	 	 	  	 s18-s-indianapolis-artists.xml(5)	 	 	 	  	 s19-s-indianapolis-artworks.xml(17)	 	 	 	  	 s20-s-lacma.xml(9)	 	 	 	  	 s21-s-met.json(28)	 	 	 	  	 s22-s-moca.xml(8)	 	 	 	  	 s23-s-national-portrait-gallery.json(18)	 	 	 	  	 s24-s-norton-simon.json(10)	 	 	 	  	 s25-s-oakland-museum-paintings.json(13)	 	 	 	  	 s26-s-san-francisco-moma.json(14)	 	 	 	  	 s27-s-the-huntington.json(12)	 	 	 	  	 s28-wildlife-art.csv(15)	 	 	 	  	 s29-gilcrease.csv(9)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.71	1.0	1.0 	 0.0	0.0	0.162	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.0	0.0	0.216	1.0	1.0 	 0.0	0.0	0.165	1.0	1.0 	 0.0	0.0	0.156	1.0	1.0 	 0.0	0.0	0.141	1.0	1.0 	 0.0	0.0	0.128	1.0	1.0 	 0.0	0.0	0.084	1.0	1.0 	 0.0	0.0	0.135	1.0	1.0 	 0.0	0.0	0.085	1.0	1.0 	 0.0	0.0	0.129	1.0	1.0 	 0.0	0.0	0.131	1.0	1.0 	 0.0	0.0	0.281	1.0	1.0 	 0.0	0.0	0.154	1.0	1.0 	 0.0	0.0	0.136	1.0	1.0 	 0.0	0.0	0.173	1.0	1.0 	 0.0	0.0	0.097	1.0	1.0 	 0.0	0.0	0.228	1.0	1.0 	 0.0	0.0	0.164	1.0	1.0 	 0.67	0.22	0.149	1.0	1.0 	 0.0	0.0	0.145	1.0	1.0 	 0.0	0.0	0.139	1.0	1.0 	 0.0	0.0	0.138	1.0	1.0 	 0.0	0.0	0.147	1.0	1.0 	 0.0	0.0	0.289	1.0	1.0 	 0.0	0.0	0.137	1.0	1.0 	 0.0	0.0	0.119	1.0	1.0 	 0.0	0.0	0.135	1.0	1.0
1.0	1.0	0.423	1.0	1.0 	 0.5	0.5	0.142	1.0	1.0 	 0.0	0.0	0.196	1.0	1.0 	 0.0	0.0	0.275	1.0	1.0 	 0.17	0.14	0.212	1.0	1.0 	 0.25	0.17	0.184	1.0	1.0 	 0.25	0.2	0.187	1.0	1.0 	 0.33	0.25	0.216	1.0	1.0 	 0.0	0.0	0.13	1.0	1.0 	 0.25	0.2	0.201	1.0	1.0 	 0.0	0.0	0.143	1.0	1.0 	 0.33	0.33	0.188	1.0	1.0 	 0.33	0.33	0.203	1.0	1.0 	 0.0	0.0	0.305	1.0	1.0 	 0.25	0.25	0.206	1.0	1.0 	 0.33	0.33	0.197	1.0	1.0 	 0.0	0.0	0.192	1.0	1.0 	 1.0	1.0	0.222	1.0	1.0 	 0.0	0.0	0.248	1.0	1.0 	 0.33	0.33	0.256	1.0	1.0 	 1.0	0.33	0.197	1.0	1.0 	 0.33	0.33	0.45	1.0	1.0 	 0.25	0.17	0.19	1.0	1.0 	 0.33	0.33	0.183	1.0	1.0 	 0.25	0.2	0.196	1.0	1.0 	 0.0	0.0	0.281	1.0	1.0 	 0.33	0.33	0.17	1.0	1.0 	 0.33	0.25	0.188	1.0	1.0 	 0.5	0.5	0.146	1.0	1.0
1.0	1.0	0.299	1.0	1.0 	 0.5	0.5	0.155	1.0	1.0 	 0.0	0.0	0.143	1.0	1.0 	 0.0	0.0	0.28	1.0	1.0 	 0.17	0.14	0.226	1.0	1.0 	 0.5	0.33	0.459	1.0	1.0 	 0.5	0.4	0.188	1.0	1.0 	 0.33	0.25	0.253	1.0	1.0 	 0.0	0.0	0.165	1.0	1.0 	 0.25	0.2	0.204	1.0	1.0 	 0.0	0.0	0.146	1.0	1.0 	 0.33	0.33	0.207	1.0	1.0 	 0.33	0.33	0.185	1.0	1.0 	 0.17	0.2	0.262	1.0	1.0 	 0.5	0.5	0.21	1.0	1.0 	 0.33	0.33	0.214	1.0	1.0 	 0.0	0.0	0.481	1.0	1.0 	 1.0	1.0	0.159	1.0	1.0 	 0.0	0.0	0.25	1.0	1.0 	 0.33	0.33	0.207	1.0	1.0 	 1.0	0.33	0.287	1.0	1.0 	 0.33	0.33	0.207	1.0	1.0 	 0.25	0.17	0.208	1.0	1.0 	 0.33	0.33	0.191	1.0	1.0 	 0.25	0.2	0.206	1.0	1.0 	 0.17	0.14	0.304	1.0	1.0 	 0.33	0.33	0.179	1.0	1.0 	 0.33	0.25	0.173	1.0	1.0 	 1.0	1.0	0.225	1.0	1.0
1.0	1.0	1.323	1.0	1.0 	 0.25	0.5	0.433	1.0	1.0 	 0.0	0.0	0.186	1.0	1.0 	 0.0	0.0	0.303	1.0	1.0 	 0.17	0.14	0.199	1.0	1.0 	 0.5	0.33	0.202	1.0	1.0 	 0.5	0.4	0.271	1.0	1.0 	 0.33	0.25	0.255	1.0	1.0 	 0.0	0.0	0.136	1.0	1.0 	 0.25	0.2	0.207	1.0	1.0 	 0.0	0.0	0.136	1.0	1.0 	 0.33	0.33	0.207	1.0	1.0 	 0.33	0.33	0.548	1.0	1.0 	 0.17	0.2	0.285	1.0	1.0 	 0.5	0.5	0.21	1.0	1.0 	 0.33	0.33	0.448	1.0	1.0 	 0.0	0.0	0.248	1.0	1.0 	 1.0	1.0	0.165	1.0	1.0 	 0.0	0.0	0.256	1.0	1.0 	 0.33	0.33	0.204	1.0	1.0 	 1.0	0.33	0.216	1.0	1.0 	 0.33	0.33	0.207	1.0	1.0 	 0.25	0.17	0.191	1.0	1.0 	 0.33	0.33	0.421	1.0	1.0 	 0.25	0.2	0.195	1.0	1.0 	 0.17	0.14	0.538	1.0	1.0 	 0.33	0.33	0.193	1.0	1.0 	 0.33	0.25	0.161	1.0	1.0 	 1.0	1.0	0.193	1.0	1.0
1.0	1.0	0.839	1.0	1.0 	 0.25	0.5	0.6	1.0	1.0 	 0.0	0.0	0.15	1.0	1.0 	 0.29	0.29	1.653	1.0	1.0 	 0.83	0.71	0.742	1.0	1.0 	 0.6	0.5	0.59	1.0	1.0 	 0.75	0.6	0.619	1.0	1.0 	 1.0	0.75	0.772	1.0	1.0 	 0.0	0.0	0.179	1.0	1.0 	 1.0	0.8	0.669	1.0	1.0 	 0.0	0.0	0.169	1.0	1.0 	 1.0	1.0	0.721	1.0	1.0 	 1.0	1.0	0.768	1.0	1.0 	 0.8	0.8	0.581	1.0	1.0 	 0.75	0.75	0.835	1.0	1.0 	 1.0	1.0	0.493	1.0	1.0 	 1.0	1.0	0.787	1.0	1.0 	 1.0	1.0	0.215	1.0	1.0 	 1.0	1.0	0.56	1.0	1.0 	 0.75	1.0	0.817	1.0	1.0 	 0.6	0.33	0.988	1.0	1.0 	 1.0	1.0	0.696	1.0	1.0 	 0.8	0.67	0.607	1.0	1.0 	 1.0	1.0	0.73	1.0	1.0 	 1.0	0.8	0.595	1.0	1.0 	 0.43	0.43	0.952	1.0	1.0 	 1.0	1.0	0.71	1.0	1.0 	 0.4	0.5	0.65	1.0	1.0 	 0.25	0.5	0.455	1.0	1.0
1.0	1.0	0.906	1.0	1.0 	 0.5	1.0	0.604	1.0	1.0 	 0.0	0.0	0.538	1.0	1.0 	 0.12	0.14	2.92	1.0	1.0 	 0.75	0.86	1.745	1.0	1.0 	 0.83	0.83	0.935	1.0	1.0 	 0.75	0.6	0.715	1.0	1.0 	 1.0	0.75	0.546	1.0	1.0 	 0.0	0.0	0.149	1.0	1.0 	 0.83	1.0	0.983	1.0	1.0 	 0.0	0.0	0.164	1.0	1.0 	 1.0	1.0	0.94	1.0	1.0 	 1.0	1.0	0.81	1.0	1.0 	 0.8	0.8	1.019	1.0	1.0 	 0.75	0.75	0.898	1.0	1.0 	 1.0	1.0	0.475	1.0	1.0 	 1.0	1.0	0.885	1.0	1.0 	 1.0	1.0	0.254	1.0	1.0 	 1.0	1.0	0.824	1.0	1.0 	 0.75	1.0	0.78	1.0	1.0 	 0.5	0.33	0.725	1.0	1.0 	 1.0	1.0	0.766	1.0	1.0 	 0.83	0.83	1.077	1.0	1.0 	 1.0	1.0	0.708	1.0	1.0 	 0.83	1.0	0.958	1.0	1.0 	 0.43	0.43	0.5	1.0	1.0 	 1.0	1.0	0.944	1.0	1.0 	 0.67	1.0	0.726	1.0	1.0 	 0.25	0.5	0.561	1.0	1.0
1.0	1.0	0.78	1.0	1.0 	 0.25	0.5	0.64	1.0	1.0 	 0.0	0.0	0.515	1.0	1.0 	 0.12	0.14	2.799	1.0	1.0 	 0.75	0.86	1.938	1.0	1.0 	 0.83	0.83	0.832	1.0	1.0 	 0.75	0.6	0.641	1.0	1.0 	 1.0	0.75	0.74	1.0	1.0 	 0.0	0.0	0.693	1.0	1.0 	 0.83	1.0	1.028	1.0	1.0 	 0.0	0.0	0.776	1.0	1.0 	 1.0	1.0	0.723	1.0	1.0 	 1.0	1.0	0.803	1.0	1.0 	 0.8	0.8	0.891	1.0	1.0 	 0.75	0.75	0.988	1.0	1.0 	 1.0	1.0	0.686	1.0	1.0 	 1.0	1.0	0.723	1.0	1.0 	 1.0	1.0	0.651	1.0	1.0 	 1.0	1.0	1.044	1.0	1.0 	 0.75	1.0	0.826	1.0	1.0 	 0.29	0.22	0.9	1.0	1.0 	 1.0	1.0	0.751	1.0	1.0 	 0.83	0.83	0.83	1.0	1.0 	 1.0	1.0	0.77	1.0	1.0 	 0.67	0.8	0.842	1.0	1.0 	 0.43	0.43	0.965	1.0	1.0 	 1.0	1.0	0.733	1.0	1.0 	 0.5	0.75	0.746	1.0	1.0 	 0.25	0.5	0.566	1.0	1.0
1.0	1.0	0.792	1.0	1.0 	 0.25	0.5	0.651	1.0	1.0 	 0.0	0.0	0.744	1.0	1.0 	 0.12	0.14	2.706	1.0	1.0 	 0.75	0.86	2.154	1.0	1.0 	 0.83	0.83	0.842	1.0	1.0 	 0.67	0.8	0.992	1.0	1.0 	 1.0	1.0	0.74	1.0	1.0 	 0.0	0.0	0.474	1.0	1.0 	 1.0	1.0	0.682	1.0	1.0 	 0.0	0.0	0.561	1.0	1.0 	 1.0	1.0	0.733	1.0	1.0 	 1.0	1.0	0.834	1.0	1.0 	 0.8	0.8	0.864	1.0	1.0 	 1.0	1.0	0.689	1.0	1.0 	 1.0	1.0	0.832	1.0	1.0 	 1.0	1.0	0.768	1.0	1.0 	 1.0	1.0	0.676	1.0	1.0 	 1.0	1.0	1.28	1.0	1.0 	 0.75	1.0	0.992	1.0	1.0 	 0.43	0.33	1.201	1.0	1.0 	 1.0	1.0	0.724	1.0	1.0 	 1.0	1.0	0.857	1.0	1.0 	 1.0	1.0	0.739	1.0	1.0 	 1.0	1.0	0.795	1.0	1.0 	 0.43	0.43	1.303	1.0	1.0 	 1.0	1.0	0.822	1.0	1.0 	 0.67	1.0	0.822	1.0	1.0 	 0.25	0.5	0.552	1.0	1.0
1.0	1.0	0.69	1.0	1.0 	 0.25	0.5	0.679	1.0	1.0 	 0.0	0.0	0.568	1.0	1.0 	 0.12	0.14	2.738	1.0	1.0 	 0.75	0.86	1.94	1.0	1.0 	 0.83	0.83	0.879	1.0	1.0 	 0.67	0.8	0.786	1.0	1.0 	 1.0	1.0	0.745	1.0	1.0 	 0.0	0.0	0.475	1.0	1.0 	 1.0	1.0	0.786	1.0	1.0 	 0.0	0.0	0.564	1.0	1.0 	 1.0	1.0	0.742	1.0	1.0 	 1.0	1.0	0.817	1.0	1.0 	 0.8	0.8	0.886	1.0	1.0 	 1.0	1.0	0.849	1.0	1.0 	 1.0	1.0	0.76	1.0	1.0 	 1.0	1.0	0.76	1.0	1.0 	 1.0	1.0	0.592	1.0	1.0 	 1.0	1.0	1.465	1.0	1.0 	 0.75	1.0	0.809	1.0	1.0 	 0.43	0.33	0.931	1.0	1.0 	 1.0	1.0	0.737	1.0	1.0 	 1.0	1.0	0.864	1.0	1.0 	 1.0	1.0	0.748	1.0	1.0 	 1.0	1.0	0.864	1.0	1.0 	 0.43	0.43	1.404	1.0	1.0 	 1.0	1.0	0.808	1.0	1.0 	 0.67	1.0	0.794	1.0	1.0 	 0.25	0.5	0.527	1.0	1.0
1.0	1.0	0.637	1.0	1.0 	 0.5	1.0	0.869	1.0	1.0 	 0.0	0.0	0.518	1.0	1.0 	 0.12	0.14	2.684	1.0	1.0 	 0.75	0.86	1.154	1.0	1.0 	 0.83	0.83	0.993	1.0	1.0 	 0.67	0.8	0.663	1.0	1.0 	 1.0	1.0	0.767	1.0	1.0 	 0.0	0.0	0.496	1.0	1.0 	 1.0	1.0	0.714	1.0	1.0 	 0.0	0.0	0.561	1.0	1.0 	 1.0	1.0	0.776	1.0	1.0 	 1.0	1.0	0.791	1.0	1.0 	 0.8	0.8	1.171	1.0	1.0 	 1.0	1.0	0.971	1.0	1.0 	 1.0	1.0	0.69	1.0	1.0 	 1.0	1.0	0.68	1.0	1.0 	 1.0	1.0	0.865	1.0	1.0 	 1.0	1.0	1.132	1.0	1.0 	 0.75	1.0	1.071	1.0	1.0 	 0.43	0.33	0.936	1.0	1.0 	 1.0	1.0	0.712	1.0	1.0 	 1.0	1.0	1.086	1.0	1.0 	 1.0	1.0	0.736	1.0	1.0 	 1.0	1.0	1.149	1.0	1.0 	 0.43	0.43	1.377	1.0	1.0 	 1.0	1.0	0.863	1.0	1.0 	 0.67	1.0	0.78	1.0	1.0 	 0.25	0.5	0.541	1.0	1.0
