source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.632
s02-dma.csv	0.5	1.0	1.568
s03-ima-artists.xml	0.0	0.0	0.808
s04-ima-artworks.xml	1.0	1.0	2.158
s05-met.json	0.86	0.86	1.44
s06-npg.json	1.0	1.0	0.738
s07-s-13.json	0.67	0.8	0.95
s08-s-17-edited.xml	1.0	1.0	0.882
s09-s-18-artists.json	0.0	0.0	0.677
s10-s-18-artworks.json	1.0	1.0	1.102
s11-s-19-artists.json	0.0	0.0	0.706
s12-s-19-artworks.json	1.0	1.0	0.857
s13-s-art-institute-of-chicago.xml	1.0	1.0	0.91
s14-s-california-african-american.json	0.8	0.8	1.032
s15-s-detroit-institute-of-art.json	1.0	1.0	0.799
s16-s-hammer.xml	1.0	1.0	0.787
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.712
s18-s-indianapolis-artists.xml	1.0	1.0	0.725
s19-s-indianapolis-artworks.xml	1.0	1.0	1.83
s20-s-lacma.xml	0.75	1.0	0.919
s21-s-met.json	0.5	0.44	1.471
s22-s-moca.xml	1.0	1.0	0.86
s23-s-national-portrait-gallery.json	1.0	1.0	0.921
s24-s-norton-simon.json	1.0	1.0	0.877
s25-s-oakland-museum-paintings.json	1.0	1.0	0.878
s26-s-san-francisco-moma.json	0.5	0.57	0.955
s27-s-the-huntington.json	1.0	1.0	1.036
s28-wildlife-art.csv	0.5	0.75	0.763
s29-gilcrease.csv	0.25	0.5	0.754
