source 	 p 	 r 	 t 

s01-cb.csv	0.88	0.88	0.678
s02-dma.csv	0.86	0.86	0.358
s03-ima-artists.xml	1.0	1.0	0.145
s04-ima-artworks.xml	0.68	0.54	0.331
s05-met.json	0.62	0.48	0.25
s06-npg.json	0.72	0.54	0.164
s07-s-13.json	0.69	0.58	0.175
s08-s-17-edited.xml	0.62	0.5	0.134
s09-s-18-artists.json	1.0	1.0	0.096
s10-s-18-artworks.json	0.64	0.56	0.249
s11-s-19-artists.json	1.0	1.0	0.122
s12-s-19-artworks.json	0.75	0.75	0.14
s13-s-art-institute-of-chicago.xml	0.77	0.77	0.132
s14-s-california-african-american.json	0.64	0.64	0.17
s15-s-detroit-institute-of-art.json	0.75	0.71	0.166
s16-s-hammer.xml	0.62	0.62	0.127
s17-s-houston-museum-of-fine-arts.json	0.71	0.75	0.163
s18-s-indianapolis-artists.xml	0.83	0.83	0.1
s19-s-indianapolis-artworks.xml	0.74	0.58	0.231
s20-s-lacma.xml	0.75	0.75	0.221
s21-s-met.json	0.73	0.3	0.197
s22-s-moca.xml	0.73	0.73	0.114
s23-s-national-portrait-gallery.json	0.67	0.5	0.142
s24-s-norton-simon.json	0.77	0.77	0.157
s25-s-oakland-museum-paintings.json	0.69	0.61	0.165
s26-s-san-francisco-moma.json	0.63	0.57	0.31
s27-s-the-huntington.json	0.8	0.8	0.127
s28-wildlife-art.csv	0.82	0.74	0.119
s29-gilcrease.csv	0.82	0.82	0.143
