source 	 p 	 r 	 t 

s01-cb.csv	0.0	0.0	0.739
s02-dma.csv	0.0	0.0	0.366
s03-ima-artists.xml	0.0	0.0	0.148
s04-ima-artworks.xml	0.0	0.0	0.367
s05-met.json	0.0	0.0	0.232
s06-npg.json	0.0	0.0	0.208
s07-s-13.json	0.0	0.0	0.219
s08-s-17-edited.xml	0.0	0.0	0.179
s09-s-18-artists.json	0.0	0.0	0.112
s10-s-18-artworks.json	0.0	0.0	0.161
s11-s-19-artists.json	0.0	0.0	0.094
s12-s-19-artworks.json	0.0	0.0	0.158
s13-s-art-institute-of-chicago.xml	0.0	0.0	0.167
s14-s-california-african-american.json	0.0	0.0	0.235
s15-s-detroit-institute-of-art.json	0.0	0.0	0.168
s16-s-hammer.xml	0.0	0.0	0.132
s17-s-houston-museum-of-fine-arts.json	0.0	0.0	0.199
s18-s-indianapolis-artists.xml	0.0	0.0	0.104
s19-s-indianapolis-artworks.xml	0.0	0.0	0.218
s20-s-lacma.xml	0.0	0.0	0.142
s21-s-met.json	0.67	0.22	0.13
s22-s-moca.xml	0.0	0.0	0.147
s23-s-national-portrait-gallery.json	0.0	0.0	0.21
s24-s-norton-simon.json	0.0	0.0	0.176
s25-s-oakland-museum-paintings.json	0.0	0.0	0.186
s26-s-san-francisco-moma.json	0.0	0.0	0.325
s27-s-the-huntington.json	0.0	0.0	0.144
s28-wildlife-art.csv	0.0	0.0	0.161
s29-gilcrease.csv	0.0	0.0	0.162
