source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.323
s02-dma.csv	0.81	0.93	1.803
s03-ima-artists.xml	1.0	1.0	0.789
s04-ima-artworks.xml	0.91	0.83	1.344
s05-met.json	0.8	0.76	1.292
s06-npg.json	0.74	0.71	0.754
s07-s-13.json	0.8	0.84	0.912
s08-s-17-edited.xml	0.82	0.9	1.022
s09-s-18-artists.json	0.14	0.25	0.416
s10-s-18-artworks.json	0.81	0.81	1.14
s11-s-19-artists.json	0.56	0.83	0.677
s12-s-19-artworks.json	0.77	0.83	0.942
s13-s-art-institute-of-chicago.xml	1.0	1.0	0.909
s14-s-california-african-american.json	0.93	0.93	0.87
s15-s-detroit-institute-of-art.json	1.0	1.0	0.877
s16-s-hammer.xml	0.88	0.88	0.807
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.735
s18-s-indianapolis-artists.xml	1.0	1.0	0.683
s19-s-indianapolis-artworks.xml	0.92	0.92	1.605
s20-s-lacma.xml	0.69	0.75	0.911
s21-s-met.json	0.42	0.3	0.924
s22-s-moca.xml	1.0	1.0	0.859
s23-s-national-portrait-gallery.json	0.74	0.71	0.795
s24-s-norton-simon.json	1.0	1.0	0.883
s25-s-oakland-museum-paintings.json	0.89	0.89	0.833
s26-s-san-francisco-moma.json	0.82	0.86	0.962
s27-s-the-huntington.json	1.0	1.0	1.061
s28-wildlife-art.csv	0.6	0.63	0.769
s29-gilcrease.csv	0.69	0.82	0.678
