source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.491
s02-dma.csv	0.5	1.0	1.761
s03-ima-artists.xml	0.0	0.0	0.767
s04-ima-artworks.xml	0.83	0.71	1.5
s05-met.json	1.0	0.86	1.42
s06-npg.json	1.0	1.0	0.811
s07-s-13.json	0.67	0.8	1.701
s08-s-17-edited.xml	0.8	1.0	1.383
s09-s-18-artists.json	0.0	0.0	0.475
s10-s-18-artworks.json	0.8	0.8	1.839
s11-s-19-artists.json	0.0	0.0	1.003
s12-s-19-artworks.json	0.75	1.0	1.767
s13-s-art-institute-of-chicago.xml	1.0	1.0	1.097
s14-s-california-african-american.json	0.8	0.8	0.861
s15-s-detroit-institute-of-art.json	1.0	1.0	0.934
s16-s-hammer.xml	1.0	1.0	0.985
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.811
s18-s-indianapolis-artists.xml	1.0	1.0	0.803
s19-s-indianapolis-artworks.xml	0.86	0.86	1.909
s20-s-lacma.xml	0.75	1.0	0.879
s21-s-met.json	0.5	0.33	0.913
s22-s-moca.xml	1.0	1.0	0.824
s23-s-national-portrait-gallery.json	1.0	1.0	0.81
s24-s-norton-simon.json	1.0	1.0	0.844
s25-s-oakland-museum-paintings.json	1.0	1.0	0.842
s26-s-san-francisco-moma.json	0.5	0.57	0.991
s27-s-the-huntington.json	1.0	1.0	1.039
s28-wildlife-art.csv	0.33	0.5	0.691
s29-gilcrease.csv	0.25	0.5	0.618
