source 	 p 	 r 	 t 

s01-cb.csv	0.0	0.0	0.731
s02-dma.csv	0.0	0.0	0.371
s03-ima-artists.xml	0.0	0.0	0.16
s04-ima-artworks.xml	0.0	0.0	0.296
s05-met.json	0.0	0.0	0.204
s06-npg.json	0.0	0.0	0.224
s07-s-13.json	0.0	0.0	0.223
s08-s-17-edited.xml	0.0	0.0	0.169
s09-s-18-artists.json	0.0	0.0	0.13
s10-s-18-artworks.json	0.0	0.0	0.185
s11-s-19-artists.json	0.0	0.0	0.114
s12-s-19-artworks.json	0.0	0.0	0.165
s13-s-art-institute-of-chicago.xml	0.0	0.0	0.153
s14-s-california-african-american.json	0.0	0.0	0.243
s15-s-detroit-institute-of-art.json	0.0	0.0	0.159
s16-s-hammer.xml	0.0	0.0	0.143
s17-s-houston-museum-of-fine-arts.json	0.0	0.0	0.172
s18-s-indianapolis-artists.xml	0.0	0.0	0.111
s19-s-indianapolis-artworks.xml	0.0	0.0	0.263
s20-s-lacma.xml	0.0	0.0	0.138
s21-s-met.json	0.0	0.0	0.133
s22-s-moca.xml	0.0	0.0	0.134
s23-s-national-portrait-gallery.json	0.0	0.0	0.167
s24-s-norton-simon.json	0.0	0.0	0.165
s25-s-oakland-museum-paintings.json	0.0	0.0	0.202
s26-s-san-francisco-moma.json	0.0	0.0	0.317
s27-s-the-huntington.json	0.0	0.0	0.136
s28-wildlife-art.csv	0.0	0.0	0.165
s29-gilcrease.csv	0.0	0.0	0.169
