source 	 p 	 r 	 t 

s01-cb.csv	0.88	0.88	1.966
s02-dma.csv	0.86	0.86	1.499
s03-ima-artists.xml	1.0	1.0	0.745
s04-ima-artworks.xml	0.5	0.42	2.444
s05-met.json	0.5	0.43	1.521
s06-npg.json	0.58	0.46	1.392
s07-s-13.json	0.63	0.63	1.553
s08-s-17-edited.xml	0.56	0.5	0.987
s09-s-18-artists.json	0.4	0.5	0.555
s10-s-18-artworks.json	0.6	0.56	1.139
s11-s-19-artists.json	0.57	0.67	0.562
s12-s-19-artworks.json	0.75	0.75	0.957
s13-s-art-institute-of-chicago.xml	0.77	0.77	0.977
s14-s-california-african-american.json	0.64	0.64	1.487
s15-s-detroit-institute-of-art.json	0.71	0.71	1.113
s16-s-hammer.xml	0.5	0.5	0.828
s17-s-houston-museum-of-fine-arts.json	0.71	0.75	1.22
s18-s-indianapolis-artists.xml	0.83	0.83	0.659
s19-s-indianapolis-artworks.xml	0.65	0.54	1.455
s20-s-lacma.xml	0.67	0.67	1.021
s21-s-met.json	0.42	0.22	0.856
s22-s-moca.xml	0.73	0.73	0.936
s23-s-national-portrait-gallery.json	0.47	0.38	0.945
s24-s-norton-simon.json	0.77	0.77	0.882
s25-s-oakland-museum-paintings.json	0.65	0.61	1.178
s26-s-san-francisco-moma.json	0.6	0.57	2.272
s27-s-the-huntington.json	0.8	0.8	0.927
s28-wildlife-art.csv	0.65	0.58	0.969
s29-gilcrease.csv	0.82	0.82	0.762
